% Model:              Roman - nanowires vs lenght LT.mph
% Version:            COMSOL 5.1.0.234
% Date:               Aug 1 2017, 15:42
% Table:              Accumulated Probe Table 5 - 
% rh                     t                        k1                       Temperature (K), Point: (-5, 5, 207.5)
60                       8.1E-6                   0.011                    4.192330230452214
60                       8.2E-6                   0.011                    4.18103566472049
60                       8.3E-6                   0.011                    4.1704043756035585
60                       8.400000000000001E-6     0.011                    4.160397403239029
60                       8.5E-6                   0.011                    4.150978092066807
60                       8.6E-6                   0.011                    4.142111925811211
60                       8.7E-6                   0.011                    4.133766425964273
60                       8.8E-6                   0.011                    4.125911012541299
60                       8.9E-6                   0.011                    4.118516908484275
60                       9.0E-6                   0.011                    4.111557020880833
60                       9.100000000000001E-6     0.011                    4.105005852540829
60                       9.2E-6                   0.011                    4.098839399781141
60                       9.3E-6                   0.011                    4.093035071625622
60                       9.4E-6                   0.011                    4.0875716012367915
60                       9.5E-6                   0.011                    4.0824289727092475
60                       9.6E-6                   0.011                    4.077588343912614
60                       9.7E-6                   0.011                    4.0730319805621065
60                       9.800000000000001E-6     0.011                    4.068743188723817
60                       9.9E-6                   0.011                    4.064706255699259
60                       1.0E-5                   0.011                    4.060906390796589
60                       -1.0000000000000002E-6   0.012                    3.9999999999999996
60                       -9.000000000000002E-7    0.012                    4.000000000000001
60                       -8.000000000000002E-7    0.012                    4.000000000000001
60                       -7.000000000000001E-7    0.012                    3.9999999999999996
60                       -6.000000000000002E-7    0.012                    3.9999999999999996
60                       -5.000000000000001E-7    0.012                    4.000000000000001
60                       -4.000000000000001E-7    0.012                    3.9999999999999996
60                       -3.000000000000001E-7    0.012                    3.9999999999999996
60                       -2.000000000000001E-7    0.012                    3.9999999999999996
60                       -1.000000000000001E-7    0.012                    3.9999999999999987
60                       0                        0.012                    4.000000000000001
60                       9.999999999999989E-8     0.012                    5.6731560335357685
60                       2.0E-7                   0.012                    7.214735122847741
60                       2.999999999999999E-7     0.012                    8.662298575184108
60                       4.0E-7                   0.012                    10.035044757466634
60                       4.999999999999999E-7     0.012                    11.339627178258986
60                       6.0E-7                   0.012                    12.567763507405747
60                       7.000000000000001E-7     0.012                    13.71965510767371
60                       8.0E-7                   0.012                    14.799165043979015
60                       9.000000000000001E-7     0.012                    15.810402069585365
60                       1.0000000000000002E-6    0.012                    16.758178352442112
60                       1.1E-6                   0.012                    16.54590672666497
60                       1.2E-6                   0.012                    15.902501136599295
60                       1.2999999999999998E-6    0.012                    15.245247877598556
60                       1.4000000000000001E-6    0.012                    14.555094931774745
60                       1.5E-6                   0.012                    13.90636863776236
60                       1.6E-6                   0.012                    13.295768894385251
60                       1.7000000000000002E-6    0.012                    12.724440955008733
60                       1.8000000000000001E-6    0.012                    12.188231355294096
60                       1.9E-6                   0.012                    11.683532289950792
60                       2.0E-6                   0.012                    11.209870795122908
60                       2.1000000000000002E-6    0.012                    10.757216771711454
60                       2.2E-6                   0.012                    10.329944332278094
60                       2.3E-6                   0.012                    9.928818051800697
60                       2.4000000000000003E-6    0.012                    9.552749466269047
60                       2.5E-6                   0.012                    9.200417312958388
60                       2.6E-6                   0.012                    8.87018654782021
60                       2.7E-6                   0.012                    8.560880513056123
60                       2.8000000000000003E-6    0.012                    8.271353352119926
60                       2.8999999999999998E-6    0.012                    8.00025648749402
60                       3.0000000000000005E-6    0.012                    7.7463821449168435
60                       3.1000000000000004E-6    0.012                    7.5086249361464565
60                       3.2000000000000003E-6    0.012                    7.285800356736738
60                       3.3E-6                   0.012                    7.077110138355357
60                       3.4E-6                   0.012                    6.8816503287354065
60                       3.5E-6                   0.012                    6.698891810207419
60                       3.6E-6                   0.012                    6.527749544746165
60                       3.7000000000000006E-6    0.012                    6.3675986579549075
60                       3.8000000000000005E-6    0.012                    6.217555177837814
60                       3.9E-6                   0.012                    6.077073499546222
60                       4.000000000000001E-6     0.012                    5.945446960279101
60                       4.1E-6                   0.012                    5.822190065207228
60                       4.2000000000000004E-6    0.012                    5.706712909349422
60                       4.2999999999999995E-6    0.012                    5.598573794771497
60                       4.4E-6                   0.012                    5.497268722888116
60                       4.500000000000001E-6     0.012                    5.402397518248146
60                       4.6E-6                   0.012                    5.313526443915268
60                       4.700000000000001E-6     0.012                    5.230296445111666
60                       4.8E-6                   0.012                    5.152332905125405
60                       4.9000000000000005E-6    0.012                    5.079315891308271
60                       4.9999999999999996E-6    0.012                    5.010920752730209
60                       5.1E-6                   0.012                    4.946863641296394
60                       5.200000000000001E-6     0.012                    4.886862361997094
60                       5.3E-6                   0.012                    4.830665814785116
60                       5.400000000000001E-6     0.012                    4.778028133725752
60                       5.5E-6                   0.012                    4.728727663937119
60                       5.600000000000001E-6     0.012                    4.682549818331872
60                       5.7E-6                   0.012                    4.639299247266538
60                       5.8E-6                   0.012                    4.598788420464669
60                       5.900000000000001E-6     0.012                    4.560845376158566
60                       6.0E-6                   0.012                    4.525306070198965
60                       6.100000000000001E-6     0.012                    4.492019261527345
60                       6.2E-6                   0.012                    4.460841346189588
60                       6.300000000000001E-6     0.012                    4.431639393497133
60                       6.4E-6                   0.012                    4.4042876242254865
60                       6.5000000000000004E-6    0.012                    4.378669257567551
60                       6.600000000000001E-6     0.012                    4.354674081634084
